term,frequency,frame,entman_function,relative_freq
use,210,innovation_progress,Treatment Recommendation,3.6526821122938844
tech,209,innovation_progress,Treatment Recommendation,3.6352883879496276
like,185,innovation_progress,Treatment Recommendation,3.2178390036874696
intelligence,181,innovation_progress,Treatment Recommendation,3.1482641063104433
ireland,173,innovation_progress,Treatment Recommendation,3.0091143115563903
year,160,innovation_progress,Treatment Recommendation,2.7829958950810547
work,156,innovation_progress,Treatment Recommendation,2.7134209977040284
now,155,innovation_progress,Treatment Recommendation,2.6960272733597717
artificial,153,innovation_progress,Treatment Recommendation,2.6612398246712585
time,151,innovation_progress,Treatment Recommendation,2.6264523759827454
many,147,innovation_progress,Treatment Recommendation,2.556877478605719
years,143,innovation_progress,Treatment Recommendation,2.4873025812286924
models,139,innovation_progress,Treatment Recommendation,2.4177276838516666
power,137,innovation_progress,Treatment Recommendation,2.3829402351631535
billion,133,innovation_progress,Treatment Recommendation,2.3133653377861267
business,129,innovation_progress,Treatment Recommendation,2.2437904404091005
just,128,innovation_progress,Treatment Recommendation,2.226396716064844
said,548,economic_benefits,Moral Evaluation,9.531760940652614
data,336,economic_benefits,Moral Evaluation,5.844291379670215
can,323,economic_benefits,Moral Evaluation,5.618172963194879
new,321,economic_benefits,Moral Evaluation,5.583385514506366
a.i,317,economic_benefits,Moral Evaluation,5.51381061712934
technology,293,economic_benefits,Moral Evaluation,5.096361232867182
says,291,economic_benefits,Moral Evaluation,5.061573784178668
companies,283,economic_benefits,Moral Evaluation,4.922423989424615
also,221,economic_benefits,Moral Evaluation,3.844013080080707
people,221,economic_benefits,Moral Evaluation,3.844013080080707
openai,220,economic_benefits,Moral Evaluation,3.82661935573645
one,215,economic_benefits,Moral Evaluation,3.7396507340151675
company,210,economic_benefits,Moral Evaluation,3.6526821122938844
use,210,economic_benefits,Moral Evaluation,3.6526821122938844
tech,209,economic_benefits,Moral Evaluation,3.6352883879496276
like,185,economic_benefits,Moral Evaluation,3.2178390036874696
intelligence,181,economic_benefits,Moral Evaluation,3.1482641063104433
ireland,173,economic_benefits,Moral Evaluation,3.0091143115563903
year,160,economic_benefits,Moral Evaluation,2.7829958950810547
work,156,economic_benefits,Moral Evaluation,2.7134209977040284
now,155,economic_benefits,Moral Evaluation,2.6960272733597717
artificial,153,economic_benefits,Moral Evaluation,2.6612398246712585
time,151,economic_benefits,Moral Evaluation,2.6264523759827454
many,147,economic_benefits,Moral Evaluation,2.556877478605719
years,143,economic_benefits,Moral Evaluation,2.4873025812286924
models,139,economic_benefits,Moral Evaluation,2.4177276838516666
power,137,economic_benefits,Moral Evaluation,2.3829402351631535
billion,133,economic_benefits,Moral Evaluation,2.3133653377861267
business,129,economic_benefits,Moral Evaluation,2.2437904404091005
just,128,economic_benefits,Moral Evaluation,2.226396716064844
