quarter,country,frame,avg_frequency,articles_count
2023.4,USA,human_vs_ai,0.4180602006688963,2
2023.4,USA,innovation_progress,3.235339171283413,2
2023.4,USA,job_displacement,0,2
2023.4,USA,privacy_concerns,0,2
2023.4,USA,regulation_needed,4.871199162603078,2
2023.4,USA,safety_security,3.235339171283413,2
2023.4,USA,uncertainty_unknown,0.19083969465648853,2
2024.1,Ireland,ai_capability,0.8433480919249421,3
2024.1,Ireland,economic_benefits,2.677062254406228,3
2024.1,Ireland,ethical_concerns,0.42167404596247104,3
2024.1,Ireland,human_vs_ai,0.2536783358701167,3
2024.1,Ireland,innovation_progress,1.6043830995352921,3
2024.1,Ireland,job_displacement,0,3
2024.1,Ireland,privacy_concerns,0.2536783358701167,3
2024.1,Ireland,regulation_needed,3.8412772680142906,3
2024.1,Ireland,safety_security,3.367539134740403,3
2024.1,Ireland,uncertainty_unknown,0.42167404596247104,3
2024.1,USA,ai_capability,3.929273084479371,1
2024.1,USA,economic_benefits,0,1
2024.1,USA,ethical_concerns,3.929273084479371,1
2024.1,USA,human_vs_ai,0,1
2024.1,USA,innovation_progress,0.9823182711198427,1
2024.1,USA,job_displacement,0,1
2024.1,USA,privacy_concerns,0,1
2024.1,USA,regulation_needed,8.840864440078585,1
2024.1,USA,safety_security,0,1
2024.1,USA,uncertainty_unknown,1.9646365422396854,1
2024.2,Ireland,ai_capability,0.19623233908948196,4
2024.2,Ireland,economic_benefits,1.5796720299975813,4
2024.2,Ireland,ethical_concerns,1.1599243865442748,4
2024.2,Ireland,human_vs_ai,0,4
2024.2,Ireland,innovation_progress,1.5480216527250843,4
2024.2,Ireland,job_displacement,0,4
2024.2,Ireland,privacy_concerns,0.19186492709132771,4
2024.2,Ireland,regulation_needed,0.894503302540763,4
2024.2,Ireland,safety_security,2.2506600281745195,4
2024.2,Ireland,uncertainty_unknown,0,4
2024.2,USA,ai_capability,0.6626905235255136,1
2024.2,USA,economic_benefits,1.9880715705765406,1
2024.2,USA,ethical_concerns,0,1
2024.2,USA,human_vs_ai,0,1
2024.2,USA,innovation_progress,0,1
2024.2,USA,job_displacement,0,1
2024.2,USA,privacy_concerns,0,1
2024.2,USA,regulation_needed,1.9880715705765406,1
2024.2,USA,safety_security,1.3253810470510272,1
2024.2,USA,uncertainty_unknown,0,1
2024.3,Ireland,ai_capability,0.7541992080470694,10
2024.3,Ireland,economic_benefits,2.1251302526753046,10
2024.3,Ireland,ethical_concerns,0.3894839337877312,10
2024.3,Ireland,human_vs_ai,0,10
2024.3,Ireland,innovation_progress,4.660587991030804,10
2024.3,Ireland,job_displacement,0,10
2024.3,Ireland,privacy_concerns,0.6216786352744091,10
2024.3,Ireland,regulation_needed,3.9667970898082223,10
2024.3,Ireland,safety_security,2.1104843940819777,10
2024.3,Ireland,uncertainty_unknown,0.6028966439571977,10
2024.3,USA,ai_capability,0.6795016987542468,5
2024.3,USA,economic_benefits,2.8111817049541363,5
2024.3,USA,ethical_concerns,0.12903225806451613,5
2024.3,USA,human_vs_ai,0,5
2024.3,USA,innovation_progress,2.2860645543962965,5
2024.3,USA,job_displacement,0.48657858965843775,5
2024.3,USA,privacy_concerns,0,5
2024.3,USA,regulation_needed,1.3017693834557167,5
2024.3,USA,safety_security,1.671387795861159,5
2024.3,USA,uncertainty_unknown,0,5
2024.4,Ireland,ai_capability,0.8231176764248146,5
2024.4,Ireland,economic_benefits,4.191044691900698,5
2024.4,Ireland,ethical_concerns,2.5810520117520763,5
2024.4,Ireland,human_vs_ai,0,5
2024.4,Ireland,innovation_progress,3.383081886197905,5
2024.4,Ireland,job_displacement,0,5
2024.4,Ireland,privacy_concerns,0.8972900167881261,5
2024.4,Ireland,regulation_needed,3.0986536566758165,5
2024.4,Ireland,safety_security,3.708624383594259,5
2024.4,Ireland,uncertainty_unknown,0.41624387400418833,5
2024.4,USA,ai_capability,1.0465200314155652,11
2024.4,USA,economic_benefits,2.755524179833983,11
2024.4,USA,ethical_concerns,0.5180726181620778,11
2024.4,USA,human_vs_ai,0,11
2024.4,USA,innovation_progress,2.115256767420945,11
2024.4,USA,job_displacement,0,11
2024.4,USA,privacy_concerns,0.13595576905646695,11
2024.4,USA,regulation_needed,6.124141605897846,11
2024.4,USA,safety_security,4.370003295037044,11
2024.4,USA,uncertainty_unknown,0.1801985465239028,11
2025.1,Ireland,ai_capability,0,5
2025.1,Ireland,economic_benefits,3.6624828531188616,5
2025.1,Ireland,ethical_concerns,0,5
2025.1,Ireland,human_vs_ai,0.21834061135371177,5
2025.1,Ireland,innovation_progress,1.6718619974437294,5
2025.1,Ireland,job_displacement,0.43668122270742354,5
2025.1,Ireland,privacy_concerns,0.17346053772766695,5
2025.1,Ireland,regulation_needed,1.9361566108642039,5
2025.1,Ireland,safety_security,4.956293463512369,5
2025.1,Ireland,uncertainty_unknown,0.5709661012844215,5
2025.1,USA,ai_capability,0.38631032445643493,23
2025.1,USA,economic_benefits,2.301236199074444,23
2025.1,USA,ethical_concerns,0.1837793215196023,23
2025.1,USA,human_vs_ai,0.0979929036162633,23
2025.1,USA,innovation_progress,2.5623145765290865,23
2025.1,USA,job_displacement,0.0458631443771785,23
2025.1,USA,privacy_concerns,0.47556394384201783,23
2025.1,USA,regulation_needed,2.152799736782878,23
2025.1,USA,safety_security,2.0571901329562805,23
2025.1,USA,uncertainty_unknown,0.2789990557608265,23
2025.2,Ireland,ai_capability,0.2739641862331989,9
2025.2,Ireland,economic_benefits,3.8918858213402543,9
2025.2,Ireland,ethical_concerns,0.631227571032458,9
2025.2,Ireland,human_vs_ai,0,9
2025.2,Ireland,innovation_progress,4.60683671313048,9
2025.2,Ireland,job_displacement,0,9
2025.2,Ireland,privacy_concerns,0.14755791648221928,9
2025.2,Ireland,regulation_needed,4.398943413583161,9
2025.2,Ireland,safety_security,2.6132785431543715,9
2025.2,Ireland,uncertainty_unknown,0.11234692731153802,9
2025.2,USA,ai_capability,0.27604314288413656,8
2025.2,USA,economic_benefits,1.4480432396502987,8
2025.2,USA,ethical_concerns,0,8
2025.2,USA,human_vs_ai,0.13661202185792348,8
2025.2,USA,innovation_progress,1.9123712584447567,8
2025.2,USA,job_displacement,0,8
2025.2,USA,privacy_concerns,0,8
2025.2,USA,regulation_needed,1.182958213442867,8
2025.2,USA,safety_security,0.8957220692823467,8
2025.2,USA,uncertainty_unknown,0.28232199395466034,8
2025.3,Ireland,ai_capability,0.33977585438432756,6
2025.3,Ireland,economic_benefits,2.2262163430439736,6
2025.3,Ireland,ethical_concerns,2.0486340861789323,6
2025.3,Ireland,human_vs_ai,0,6
2025.3,Ireland,innovation_progress,3.8181650544892154,6
2025.3,Ireland,job_displacement,0,6
2025.3,Ireland,privacy_concerns,0.5847953216374269,6
2025.3,Ireland,regulation_needed,7.6411306530595136,6
2025.3,Ireland,safety_security,2.8134302775512867,6
2025.3,Ireland,uncertainty_unknown,0.49395408441824673,6
2025.3,USA,ai_capability,0,2
2025.3,USA,economic_benefits,0,2
2025.3,USA,ethical_concerns,0,2
2025.3,USA,human_vs_ai,0,2
2025.3,USA,innovation_progress,0.42517006802721086,2
2025.3,USA,job_displacement,0,2
2025.3,USA,privacy_concerns,1.4265335235378032,2
2025.3,USA,regulation_needed,1.2755102040816326,2
2025.3,USA,safety_security,0.3566333808844508,2
2025.3,USA,uncertainty_unknown,0.3566333808844508,2
